ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688981.SH,20240326,44.6,45.05,44.2,44.54,44.56,-0.02,-0.0449,154276.67,687234.773
688981.SH,20240327,44.82,44.82,43.38,43.41,44.54,-1.13,-2.537,159330.41,700495.124
688981.SH,20240328,43.41,44.46,43.41,44.0,43.41,0.59,1.3591,155078.48,682776.444
688981.SH,20240329,43.93,43.98,42.9,43.66,44.0,-0.34,-0.7727,165388.37,717917.544
688981.SH,20240401,43.66,44.63,43.58,44.3,43.66,0.64,1.4659,183511.43,811634.437
688981.SH,20240402,44.28,44.3,43.65,43.95,44.3,-0.35,-0.7901,115068.68,504883.931
688981.SH,20240403,44.98,45.24,44.08,44.24,43.95,0.29,0.6598,223609.53,996010.784
688981.SH,20240408,43.7,43.71,42.5,42.51,44.24,-1.73,-3.9105,243290.41,1042392.026
688981.SH,20240409,42.37,42.88,42.25,42.7,42.51,0.19,0.447,140938.75,600699.958
688981.SH,20240410,42.7,42.98,42.1,42.18,42.7,-0.52,-1.2178,137975.41,585993.073
688981.SH,20240411,42.1,42.6,40.5,41.19,42.18,-0.99,-2.3471,224263.24,931943.069
688981.SH,20240412,41.02,41.45,40.31,40.33,41.19,-0.86,-2.0879,203770.15,829048.827
688981.SH,20240415,40.33,41.55,40.01,41.19,40.33,0.86,2.1324,216778.22,886154.84
688981.SH,20240416,41.0,41.87,40.78,41.18,41.19,-0.01,-0.0243,185269.91,766353.527
688981.SH,20240417,41.2,41.79,40.91,41.75,41.18,0.57,1.3842,181266.86,752698.692
688981.SH,20240418,41.5,41.88,41.35,41.61,41.75,-0.14,-0.3353,165833.42,690686.483
688981.SH,20240419,41.36,41.74,40.85,41.38,41.61,-0.23,-0.5528,137413.17,567558.213
688981.SH,20240422,41.31,41.62,40.86,41.31,41.38,-0.07,-0.1692,109905.46,453953.673
688981.SH,20240423,41.32,41.68,41.02,41.11,41.31,-0.2,-0.4841,109941.45,454747.881
688981.SH,20240424,41.25,41.39,40.8,41.25,41.11,0.14,0.3405,151938.78,624334.52
688981.SH,20240425,41.25,41.86,40.92,41.34,41.25,0.09,0.2182,143844.39,595555.209
688981.SH,20240426,41.1,42.12,41.1,42.06,41.34,0.72,1.7417,220510.22,922197.643
688981.SH,20240429,42.13,43.36,42.13,43.05,42.06,0.99,2.3538,237697.02,1020182.748
688981.SH,20240430,43.0,43.0,41.76,41.91,43.05,-1.14,-2.6481,233965.49,988025.344
688981.SH,20240506,42.49,43.03,42.33,42.56,41.91,0.65,1.5509,220428.62,941283.488
688981.SH,20240507,42.55,42.73,42.2,42.71,42.56,0.15,0.3524,129383.05,550573.775
688981.SH,20240508,42.81,42.82,42.08,42.16,42.71,-0.55,-1.2878,111558.61,472673.353
688981.SH,20240509,42.18,43.89,42.16,43.72,42.16,1.56,3.7002,312166.37,1351312.043
688981.SH,20240510,43.7,43.98,42.74,42.99,43.72,-0.73,-1.6697,257787.63,1112390.433
688981.SH,20240513,42.7,43.5,42.38,43.06,42.99,0.07,0.1628,155253.14,667418.005
688981.SH,20240514,43.06,43.45,42.71,42.92,43.06,-0.14,-0.3251,135428.28,581796.402
688981.SH,20240515,42.74,42.87,41.62,41.66,42.92,-1.26,-2.9357,211118.66,889591.26
688981.SH,20240516,42.0,42.5,41.8,41.82,41.66,0.16,0.3841,149030.76,627385.977
688981.SH,20240517,41.83,42.32,41.56,42.3,41.82,0.48,1.1478,126369.35,531097.295
688981.SH,20240520,42.4,42.88,42.2,42.57,42.3,0.27,0.6383,148070.69,631055.044
688981.SH,20240521,42.62,42.63,42.03,42.11,42.57,-0.46,-1.0806,97813.98,413394.676
688981.SH,20240522,42.15,42.45,41.84,42.27,42.11,0.16,0.38,143029.21,601957.235
688981.SH,20240523,42.18,42.2,41.08,41.17,42.27,-1.1,-2.6023,173715.15,722285.055
688981.SH,20240524,41.13,41.35,41.0,41.03,41.17,-0.14,-0.3401,101365.51,417552.864
688981.SH,20240527,41.36,43.17,41.36,43.13,41.03,2.1,5.1182,374929.96,1593196.322
688981.SH,20240528,43.13,43.99,42.9,43.11,43.13,-0.02,-0.0464,349632.97,1516562.322
688981.SH,20240529,42.87,43.4,42.59,42.94,43.11,-0.17,-0.3943,168153.29,722546.139
688981.SH,20240530,43.03,45.96,42.8,45.39,42.94,2.45,5.7056,688850.04,3094280.19
688981.SH,20240531,45.1,45.49,44.69,44.85,45.39,-0.54,-1.1897,314630.49,1414729.533
688981.SH,20240603,44.96,46.36,44.8,45.44,44.85,0.59,1.3155,393681.71,1796427.446
688981.SH,20240604,45.3,45.75,44.72,45.55,45.44,0.11,0.2421,240509.59,1087304.81
688981.SH,20240605,45.42,47.14,45.3,46.12,45.55,0.57,1.2514,395896.73,1841218.738
688981.SH,20240606,47.23,47.74,46.51,46.8,46.12,0.68,1.4744,530522.61,2503751.094
688981.SH,20240607,46.79,47.74,46.42,47.21,46.8,0.41,0.8761,361994.09,1706416.314
688981.SH,20240611,47.09,49.0,47.05,48.94,47.21,1.73,3.6645,543172.33,2638626.377
688981.SH,20240612,48.7,48.7,47.59,47.9,48.94,-1.04,-2.1251,415576.27,1995880.529
688981.SH,20240613,48.18,48.85,47.11,47.2,47.9,-0.7,-1.4614,451427.45,2167830.387
688981.SH,20240614,46.9,47.09,46.08,46.49,47.2,-0.71,-1.5042,430889.38,2003901.881
688981.SH,20240617,46.4,47.99,46.3,47.77,46.49,1.28,2.7533,371983.88,1763212.921
688981.SH,20240618,47.88,48.8,47.76,48.13,47.77,0.36,0.7536,346620.24,1672916.508
688981.SH,20240619,48.1,48.29,46.88,47.53,48.13,-0.6,-1.2466,312582.36,1486601.587
688981.SH,20240620,47.45,49.91,47.37,48.8,47.53,1.27,2.672,591655.7,2896892.544
688981.SH,20240621,48.34,48.78,47.47,48.75,48.8,-0.05,-0.1025,306604.83,1476110.93
688981.SH,20240624,48.6,49.76,47.18,47.26,48.75,-1.49,-3.0564,410177.58,1980534.764
688981.SH,20240625,47.04,47.39,45.26,45.54,47.26,-1.72,-3.6394,431295.36,1991141.725
688981.SH,20240626,45.95,46.78,45.42,46.47,45.54,0.93,2.0422,254825.4,1173593.026
688981.SH,20240627,46.17,46.45,45.58,45.71,46.47,-0.76,-1.6355,187443.35,861865.907
688981.SH,20240628,45.52,46.42,45.51,46.1,45.71,0.39,0.8532,218019.68,1004720.178
688981.SH,20240701,46.18,46.42,44.93,45.81,46.1,-0.29,-0.6291,218020.59,993307.678
688981.SH,20240702,45.7,46.05,45.31,45.46,45.81,-0.35,-0.764,192229.55,878101.405
688981.SH,20240703,45.55,46.74,45.01,46.26,45.46,0.8,1.7598,278849.44,1284325.193
688981.SH,20240704,46.1,46.87,46.03,46.16,46.26,-0.1,-0.2162,214786.38,997203.926
688981.SH,20240705,46.02,46.67,45.21,46.64,46.16,0.48,1.0399,229884.22,1057957.179
688981.SH,20240708,46.55,47.3,46.35,46.7,46.64,0.06,0.1286,238544.12,1116722.765
688981.SH,20240709,46.55,48.56,46.55,48.16,46.7,1.46,3.1263,360703.97,1723195.832
688981.SH,20240710,47.88,48.3,47.7,47.99,48.16,-0.17,-0.353,195772.57,938670.284
688981.SH,20240711,48.47,49.22,48.11,48.27,47.99,0.28,0.5835,299907.58,1457020.915
688981.SH,20240712,47.9,48.83,47.42,48.64,48.27,0.37,0.7665,220728.14,1062200.327
688981.SH,20240715,48.68,49.36,48.65,48.94,48.64,0.3,0.6168,200876.97,984327.142
688981.SH,20240716,48.7,49.28,47.93,49.2,48.94,0.26,0.5313,305539.37,1486489.079
688981.SH,20240717,49.08,49.1,48.36,48.36,49.2,-0.84,-1.7073,231865.59,1130433.688
688981.SH,20240718,47.33,49.1,47.06,48.75,48.36,0.39,0.8065,291436.85,1403929.792
688981.SH,20240719,48.5,51.35,48.34,51.2,48.75,2.45,5.0256,608623.71,3061367.372
688981.SH,20240722,50.9,51.45,50.65,50.98,51.2,-0.22,-0.4297,305579.78,1557926.564
688981.SH,20240723,51.0,51.35,49.18,49.28,50.98,-1.7,-3.3346,334543.65,1681684.846
688981.SH,20240724,49.34,49.89,48.7,48.85,49.28,-0.43,-0.8726,245582.22,1210342.555
688981.SH,20240725,48.6,49.53,48.11,48.7,48.85,-0.15,-0.3071,206799.53,1009487.465
688981.SH,20240726,48.68,49.76,48.6,49.75,48.7,1.05,2.1561,180694.79,888744.371
688981.SH,20240729,49.59,49.98,46.53,46.7,49.75,-3.05,-6.1307,369941.24,1775575.236
688981.SH,20240730,46.68,47.88,46.6,47.6,46.7,0.9,1.9272,221183.92,1046826.682
688981.SH,20240731,47.51,49.2,47.5,49.1,47.6,1.5,3.1513,207143.13,1006957.513
688981.SH,20240801,48.99,49.79,48.9,49.11,49.1,0.01,0.0204,161893.4,798449.129
688981.SH,20240802,48.61,49.22,48.1,48.42,49.11,-0.69,-1.405,193644.43,938769.737
688981.SH,20240805,47.95,48.48,47.0,47.29,48.42,-1.13,-2.3337,233085.4,1111376.069
688981.SH,20240806,47.7,47.96,46.3,47.27,47.29,-0.02,-0.0423,177103.37,832925.225
688981.SH,20240807,47.4,47.56,47.1,47.22,47.27,-0.05,-0.1058,87377.59,413822.927
688981.SH,20240808,47.01,47.9,46.76,47.48,47.22,0.26,0.5506,125731.62,595635.655
688981.SH,20240809,49.5,49.81,48.47,48.49,47.48,1.01,2.1272,271805.1,1334185.24
688981.SH,20240812,48.35,48.98,48.0,48.78,48.49,0.29,0.5981,144573.35,702854.845
688981.SH,20240813,48.8,49.2,48.74,49.2,48.78,0.42,0.861,142118.85,696438.78
688981.SH,20240814,49.3,49.46,48.8,48.95,49.2,-0.25,-0.5081,130242.39,640093.246
688981.SH,20240815,48.61,49.75,48.56,49.68,48.95,0.73,1.4913,185119.67,914564.799
688981.SH,20240816,49.63,49.73,49.07,49.46,49.68,-0.22,-0.4428,118402.55,584952.106
688981.SH,20240819,49.49,49.98,49.14,49.46,49.46,0.0,0.0,106590.7,529011.501
688981.SH,20240820,49.46,49.59,48.47,48.75,49.46,-0.71,-1.4355,142708.64,697840.374
688981.SH,20240821,48.75,48.98,47.76,47.78,48.75,-0.97,-1.9897,142468.89,687626.381
688981.SH,20240822,47.6,47.85,46.03,46.54,47.78,-1.24,-2.5952,234637.83,1094773.982
688981.SH,20240823,46.5,47.2,46.12,47.13,46.54,0.59,1.2677,130266.43,609961.822
688981.SH,20240826,47.12,47.45,46.88,47.35,47.13,0.22,0.4668,89835.8,424194.788
688981.SH,20240827,47.3,47.35,46.54,46.72,47.35,-0.63,-1.3305,110601.11,517689.8
688981.SH,20240828,46.8,47.66,46.69,47.36,46.72,0.64,1.3699,92522.75,437525.28
688981.SH,20240829,47.15,47.62,46.99,47.26,47.36,-0.1,-0.2111,106165.56,502868.959
688981.SH,20240830,46.85,48.48,46.71,48.24,47.26,0.98,2.0736,215167.65,1029589.93
688981.SH,20240902,48.04,48.2,46.71,46.78,48.24,-1.46,-3.0265,152629.6,722833.408
688981.SH,20240903,46.67,47.18,45.65,46.26,46.78,-0.52,-1.1116,170094.97,787442.424
688981.SH,20240904,45.79,46.26,45.51,45.53,46.26,-0.73,-1.578,121542.06,556296.023
688981.SH,20240905,45.6,46.1,45.52,45.97,45.53,0.44,0.9664,96703.92,443119.201
688981.SH,20240906,46.02,46.08,45.08,45.08,45.97,-0.89,-1.936,103708.76,471332.179
688981.SH,20240909,44.81,45.45,44.63,44.87,45.08,-0.21,-0.4658,91519.76,411954.27
688981.SH,20240910,44.88,45.09,43.95,44.84,44.87,-0.03,-0.0669,124351.44,552841.085
688981.SH,20240911,44.5,44.7,42.9,43.33,44.84,-1.51,-3.3675,211768.27,922753.569
